,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,1283,1019,261,27,1,7,49,229,5,2,3,0,986,3,27,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,662,634,28,24,0,5,0,4,0,0,0,0,540,0,3,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,633,623,7,2,5,2,15,2,3,0,1,0,522,3,19,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,444,405,34,5,4,1,81,3,26,5,19,0,277,5,29,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,24,19,5,0,0,0,3,2,0,0,0,0,13,0,1,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,385,367,13,0,2,2,9,1,0,0,0,0,255,5,13,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,1110,1045,63,40,1,10,23,22,0,0,0,0,939,2,21,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,455,419,31,0,2,4,12,0,0,0,0,0,298,5,27,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,149,127,22,0,3,0,2,0,0,0,0,0,116,0,7,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,278,272,4,0,0,0,33,2,2,0,1,0,192,2,16,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,163,157,6,6,0,0,0,0,0,0,0,0,142,0,0,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,579,547,28,24,2,6,5,2,2,0,0,0,489,4,8,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,702,569,132,14,0,3,39,118,0,0,0,0,590,1,13,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,138,119,19,2,0,2,5,17,0,0,0,0,115,0,1,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,451,431,20,5,0,1,33,11,4,2,2,0,372,0,11,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,2081,2011,67,52,0,24,11,12,0,0,0,0,1772,3,15,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,42,31,11,1,0,0,3,10,0,0,0,0,32,0,0,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,344,310,33,1,1,2,5,2,0,0,0,0,250,1,17,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,2141,1992,144,47,0,12,7,21,0,0,0,0,1872,5,9,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,103,75,28,0,0,0,0,0,0,0,0,0,97,0,0,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,556,405,149,31,0,2,0,0,0,0,0,0,407,2,0,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,40,23,17,1,0,0,0,0,0,0,0,0,33,0,0,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,1683,1408,269,45,1,22,110,211,13,1,11,0,1360,6,21,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,135,72,63,14,0,0,0,0,0,0,0,0,74,0,0,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,365,336,25,8,2,0,29,3,12,8,4,0,261,4,10,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,2458,2404,50,44,5,19,5,6,0,0,0,0,2268,4,33,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,165,149,15,0,0,0,2,1,0,0,0,0,112,1,4,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,117,110,5,0,1,0,1,0,0,0,0,0,85,2,2,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,146,134,11,0,0,1,12,7,0,0,0,0,99,1,2,Matches,affbe6bc
